NOMBRE_TUI;CATEGORIA_TUI;DIRECCION_TUI;LATITUD_TUI;LONGITUD_TUI;DESCRIPCION_TUI;WEBSITE;TELEFONO;HORARIO;Categoria_1;Categoria_2;Categoria_3
Endagraf.S.L.;hoteles;Calle Alondra, 2 28946 Fuenlabrada, Spain;4025885;-376929;;https://endagraf.com/;917 97 92 57;Monday: 8:00?AM?–?2:00?PM, 4:30?–?7:00?PM | Tuesday: 8:00?AM?–?2:00?PM, 4:30?–?7:00?PM | Wednesday: 8:00?AM?–?2:00?PM, 4:30?–?7:00?PM | Thursday: 8:00?AM?–?2:00?PM, 4:30?–?7:00?PM | Friday: 8:00?AM?–?2:00?PM, 4:30?–?7:00?PM | Saturday: Closed | Sunday: Closed;;;
ITV in Fuenlabrada;hoteles;Avenida de la Industria, 5 28947 Fuenlabrada, Spain;4026853;-375907;;https://www.itv-tuvrheinland.es/;910 50 29 68;Monday: 7:30?AM?–?8:30?PM | Tuesday: 7:30?AM?–?8:30?PM | Wednesday: 7:30?AM?–?8:30?PM | Thursday: 7:30?AM?–?8:30?PM | Friday: 7:30?AM?–?8:30?PM | Saturday: 7:30?AM?–?2:00?PM | Sunday: Closed;;;
Alral Sa;hoteles;Calle Azores, 5 28320 Pinto, Spain;4025083;-371549;;;911 25 58 16;Monday: 10:00?AM?–?8:00?PM | Tuesday: 10:00?AM?–?8:00?PM | Wednesday: 10:00?AM?–?8:00?PM | Thursday: 10:00?AM?–?8:00?PM | Friday: 10:00?AM?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
D&A asociados grupo inmobiliario;hoteles;Calle de Pinto, 29 28982 Parla, Spain;4023919;-376775;;;910 42 97 03;Monday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Tuesday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Wednesday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Thursday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Friday: 10:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Saturday: 10:00?AM?–?2:00?PM | Sunday: Closed;;;
Artesania Chopo SL;hoteles;Calle León, 3 28947 Fuenlabrada, Spain;4026581;-374316;;http://artesaniachopo.com/;916 42 03 36;Monday: 8:30?AM?–?3:00?PM | Tuesday: 8:30?AM?–?3:00?PM | Wednesday: 8:30?AM?–?3:00?PM | Thursday: 8:30?AM?–?3:00?PM | Friday: 8:30?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
Montakit;hoteles;Calle Torre del Bierzo, 1 28947 Fuenlabrada, Spain;4025365;-374768;;http://www.montakit.eu/;914 98 20 06;Monday: 8:00?AM?–?3:00?PM, 4:00?–?7:00?PM | Tuesday: 8:00?AM?–?3:00?PM, 4:00?–?7:00?PM | Wednesday: 8:00?AM?–?3:00?PM, 4:00?–?7:00?PM | Thursday: 8:00?AM?–?3:00?PM, 4:00?–?7:00?PM | Friday: 8:00?AM?–?3:00?PM, 4:00?–?7:00?PM | Saturday: 8:00?AM?–?1:00?PM | Sunday: Closed;;;
GLAMOUR NOVIAS PARLA;hoteles;Calle de Pinto, 16 28982 Parla, Spain;4023894;-376783;;http://www.glamour-novias.es/;655 56 52 61;Monday: 10:00?AM?–?1:30?PM, 5:30?–?8:30?PM | Tuesday: 10:00?AM?–?1:30?PM, 5:30?–?8:30?PM | Wednesday: 10:00?AM?–?1:30?PM, 5:30?–?8:30?PM | Thursday: 10:00?AM?–?1:30?PM, 5:30?–?8:30?PM | Friday: 10:00?AM?–?1:30?PM, 5:30?–?8:30?PM | Saturday: 10:00?AM?–?1:30?PM | Sunday: Closed;;;
Pinto;hoteles;,  28320 Pinto, Spain;4023751;-369677;;;;;;;
Civil Registry Office;hoteles;Avenida de la Escuela Pública, 17 28981 Juzgado, Spain;4022883;-376923;;http://www.mjusticia.gob.es/BUSCADIR/ServletControlador?apartado=buscadorEntesDesdeListado&ente=2810692330000&partido=&municipioDelDetalle=es.mjusticia.wsdirjus.beans.MunicipioBeanVO@36d4998c&lang=es_es&origen=;916 21 80 83;Monday: 9:00?AM?–?1:00?PM | Tuesday: 9:00?AM?–?1:00?PM | Wednesday: 9:00?AM?–?1:00?PM | Thursday: 9:00?AM?–?1:00?PM | Friday: 9:00?AM?–?1:00?PM | Saturday: Closed | Sunday: Closed;;;
Noticias de tu Ciudad;hoteles;Calle Dos Hermanas, 12 28982 Parla, Spain;4023832;-376937;;;916 99 21 09;Monday: 9:00?AM?–?9:00?PM | Tuesday: 9:00?AM?–?9:00?PM | Wednesday: 9:00?AM?–?9:00?PM | Thursday: 9:00?AM?–?9:00?PM | Friday: 9:00?AM?–?9:00?PM | Saturday: Closed | Sunday: Closed;;;
Embalaje Tamayo y Cía.;hoteles;Calle Cadmio, 2 28946 Fuenlabrada, Spain;4026778;-376056;;https://www.tamayoycia.com/;916 42 12 00;Monday: 8:00?AM?–?2:00?PM, 3:00?–?5:00?PM | Tuesday: 8:00?AM?–?2:00?PM, 3:00?–?5:00?PM | Wednesday: 8:00?AM?–?2:00?PM, 3:00?–?5:00?PM | Thursday: 8:00?AM?–?2:00?PM, 3:00?–?5:00?PM | Friday: 7:30?AM?–?2:00?PM | Saturday: Closed | Sunday: Closed;;;
Telepizza Parla, Pinto - Comida a Domicilio;hoteles;Calle de Pinto, 2 28982 Parla, Spain;4023843;-376936;;https://www.telepizza.es/;916 05 50 00;Monday: 1:00?PM?–?12:00?AM | Tuesday: 1:00?PM?–?12:00?AM | Wednesday: 1:00?PM?–?12:00?AM | Thursday: 1:00?PM?–?12:00?AM | Friday: 1:00?PM?–?12:00?AM | Saturday: 1:00?PM?–?12:00?AM | Sunday: 1:00?PM?–?12:00?AM;;;
Depórtica SL;hoteles;Calle Real, 120 28981 Parla, Spain;4025070;-376406;;http://www.deportica.es/;916 42 24 97;Monday: 8:00?AM?–?3:00?PM | Tuesday: 8:00?AM?–?3:00?PM | Wednesday: 8:00?AM?–?3:00?PM | Thursday: 8:00?AM?–?3:00?PM | Friday: 8:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
Halcón Viajes;hoteles;Calle Real, 7 28981 Parla, Spain;4023677;-377134;;https://www.halconviajes.com/;916 05 63 91;Monday: 9:30?AM?–?2:00?PM, 4:30?–?7:30?PM | Tuesday: 9:30?AM?–?2:00?PM, 4:30?–?7:30?PM | Wednesday: 9:30?AM?–?2:00?PM, 4:30?–?7:30?PM | Thursday: 9:30?AM?–?2:00?PM, 4:30?–?7:30?PM | Friday: 9:30?AM?–?2:00?PM, 4:30?–?7:30?PM | Saturday: Closed | Sunday: Closed;;;
Elate, S.A.;hoteles;Calle Garzas, 12 28320 Pinto, Spain;4024828;-371611;;https://elatesa.com/;916 92 31 51;Monday: 8:00?AM?–?4:00?PM | Tuesday: 8:00?AM?–?4:00?PM | Wednesday: 8:00?AM?–?4:00?PM | Thursday: 8:00?AM?–?4:00?PM | Friday: 8:00?AM?–?4:00?PM | Saturday: Closed | Sunday: Closed;;;
F. Melero;hoteles;Calle la Bañeza, 22 28947 Fuenlabrada, Spain;4026661;-374815;;http://fmelero.com/;916 42 25 78;Monday: 8:30?AM?–?2:00?PM, 3:00?–?5:30?PM | Tuesday: 8:30?AM?–?2:00?PM, 3:00?–?5:30?PM | Wednesday: 8:30?AM?–?2:00?PM, 3:00?–?5:30?PM | Thursday: 8:30?AM?–?2:00?PM, 3:00?–?5:30?PM | Friday: 8:30?AM?–?2:00?PM, 3:00?–?5:30?PM | Saturday: Closed | Sunday: Closed;;;
Rock & Play Instrumentos Musicales y Academia;hoteles;Calle Alfonso XIII, 30 28982 Parla, Spain;4023356;-376462;;;916 98 50 14;Monday: 10:00?AM?–?1:00?PM, 6:00?–?9:00?PM | Tuesday: 10:00?AM?–?1:00?PM, 6:00?–?9:00?PM | Wednesday: 10:00?AM?–?1:00?PM, 4:00?–?9:00?PM | Thursday: 10:00?AM?–?1:00?PM, 6:00?–?9:00?PM | Friday: 10:00?AM?–?1:00?PM, 6:00?–?9:00?PM | Saturday: 10:30?AM?–?1:30?PM | Sunday: Closed;;;
Roselin El Ferial;hoteles;M-408, 41 28982 Parla, Spain;4024160;-375635;;http://www.roselin.es/;916 99 78 32;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 11:00?AM?–?9:00?PM;;;
Serinpren Screen Printing Textile Printing T-Shirts;hoteles;Calle Paloma, 22 28946 Fuenlabrada, Spain;4026236;-376656;;https://serinpren.es/;916 42 17 65;Monday: 9:00?AM?–?1:00?PM, 2:30?–?6:00?PM | Tuesday: 9:00?AM?–?1:00?PM, 2:30?–?6:00?PM | Wednesday: 9:00?AM?–?1:00?PM, 2:30?–?6:00?PM | Thursday: 9:00?AM?–?1:00?PM, 2:30?–?6:00?PM | Friday: 9:00?AM?–?1:00?PM, 2:30?–?6:00?PM | Saturday: Closed | Sunday: Closed;;;
Restaurante Doner Kebab Alí Baba;hoteles;Calle San Antón, 10 28981 Parla, Spain;4023474;-377156;;https://donerkebabalibabamd.com/;916 05 73 27;Monday: 12:00?PM?–?12:00?AM | Tuesday: 12:00?PM?–?12:00?AM | Wednesday: 12:00?PM?–?12:00?AM | Thursday: 12:00?PM?–?12:00?AM | Friday: 12:00?PM?–?12:00?AM | Saturday: 12:00?PM?–?12:00?AM | Sunday: 12:00?PM?–?12:00?AM;;;
La Traca Parla;hoteles;Calle Londres, 11 28982 Parla, Spain;4023936;-375656;;https://www.latraca.es/;916 99 93 49;Monday: Closed | Tuesday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Wednesday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Thursday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Friday: 10:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Saturday: 10:00?AM?–?2:00?PM | Sunday: Closed;;;
Arreglos express;hoteles;Calle Carabanchel, local 1 28981 Parla, Spain;4024285;-377456;;;641 39 73 13;Monday: 10:00?AM?–?7:00?PM | Tuesday: 10:00?AM?–?7:00?PM | Wednesday: 10:00?AM?–?7:00?PM | Thursday: 10:00?AM?–?7:00?PM | Friday: 10:00?AM?–?7:00?PM | Saturday: Closed | Sunday: Closed;;;
Mystic Center;hoteles;Calle de la Macarena, 31 28982 Parla, Spain;4023673;-376534;;;633 42 74 45;;;;
Fiesta Paper - Papel de regalo y sobres para envolver regalos (Fábrica y tienda ONLINE);hoteles;Calle León, 42 28947 Fuenlabrada, Spain;4026129;-374652;;https://fiestapaper.com/;916 42 16 75;Monday: 8:30?AM?–?5:00?PM | Tuesday: 8:30?AM?–?5:00?PM | Wednesday: 8:30?AM?–?5:00?PM | Thursday: 8:30?AM?–?5:00?PM | Friday: 8:30?AM?–?5:00?PM | Saturday: Closed | Sunday: Closed;;;
Conservation Authority Cobo Calleja;hoteles;Avenida de La Cantueña, 2 28947 Madrid, Spain;4027400;-376297;;http://www.entidadcobocalleja.com/;916 42 18 07;Monday: 8:00?AM?–?3:00?PM | Tuesday: 8:00?AM?–?3:00?PM | Wednesday: 8:00?AM?–?3:00?PM | Thursday: 8:00?AM?–?3:00?PM | Friday: 8:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
Clinica Dental Arequipa;hoteles;Calle de las Ciudades, 4 28982 Parla, Spain;4024046;-376887;;http://www.clinicadentalarequipa.com/;916 05 03 85;Monday: 10:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Tuesday: Closed | Wednesday: 10:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Thursday: Closed | Friday: 10:00?AM?–?2:00?PM, 4:00?–?7:00?PM | Saturday: Closed | Sunday: Closed;;;
Grupo Industrial Vitec;hoteles;Calle la Vecilla, 1 28947 Fuenlabrada, Spain;4025309;-374854;;https://www.grupovitec.es/;916 42 42 90;Monday: 8:00?AM?–?2:00?PM, 3:00?–?5:00?PM | Tuesday: 8:00?AM?–?2:00?PM, 3:00?–?5:00?PM | Wednesday: 8:00?AM?–?2:00?PM, 3:00?–?5:00?PM | Thursday: 8:00?AM?–?2:00?PM, 3:00?–?5:00?PM | Friday: 7:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
GESTALIA Fincas;hoteles;Calle de la Macarena, 32 28982 Parla, Spain;4023738;-376587;;http://www.gestaliafincas.com/;911 42 91 86;Monday: 5:00?–?7:00?PM | Tuesday: 5:00?–?7:00?PM | Wednesday: 5:00?–?7:00?PM | Thursday: 5:00?–?7:00?PM | Friday: Closed | Saturday: Closed | Sunday: Closed;;;
Priasuk;hoteles;Calle Bélgica,  28320 Pinto, Spain;4025340;-373233;;;635 96 03 31;Monday: 9:00?AM?–?2:00?PM, 4:00?–?7:30?PM | Tuesday: 9:00?AM?–?2:00?PM, 4:00?–?7:30?PM | Wednesday: 9:00?AM?–?2:00?PM, 4:00?–?7:30?PM | Thursday: 9:00?AM?–?2:00?PM, 4:00?–?7:30?PM | Friday: 9:00?AM?–?2:00?PM, 5:00?–?7:30?PM | Saturday: Closed | Sunday: Closed;;;
Lavanderia Industrial Robila;hoteles;Avenida Cerro del Rubal,  28983 Parla, Spain;4023745;-375280;;https://www.lavanderiaindustrialrobila.es/;915 28 79 04;Monday: 6:00?AM?–?6:00?PM | Tuesday: 6:00?AM?–?6:00?PM | Wednesday: 6:00?AM?–?6:00?PM | Thursday: 6:00?AM?–?6:00?PM | Friday: 6:00?AM?–?6:00?PM | Saturday: 6:00?AM?–?3:00?PM | Sunday: Closed;;;
Mavi Metalistería S.L.;hoteles;Calle Brañuelas, 30 28947 Fuenlabrada, Spain;4025631;-375142;;http://www.mavi-metalisteria.es/;916 42 15 68;;;;
Cristaleria Hijos de Nieto SL;hoteles;Calle Pintor Sorolla, 4 28982 Parla, Spain;4024113;-376165;;https://cristaleriaparla.com/;916 99 14 81;Monday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Tuesday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Wednesday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Thursday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Friday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
Master Regalos S.L;hoteles;Calle Astorga, 17 28947 Fuenlabrada, Spain;4026166;-374754;;http://masterregalos.es/;916 42 19 71;Monday: 10:00?AM?–?6:00?PM | Tuesday: 10:00?AM?–?6:00?PM | Wednesday: 10:00?AM?–?6:00?PM | Thursday: 10:00?AM?–?6:00?PM | Friday: 10:00?AM?–?6:00?PM | Saturday: Closed | Sunday: 10:00?AM?–?3:00?PM;;;
Llorgil Calderería, S.L. (Llorgil);hoteles;Calle Buenavista, 2 28983 Parla, Spain;4025093;-376390;;http://www.llorgil.com/;916 99 25 26;Monday: 8:00?AM?–?2:00?PM, 3:00?–?5:30?PM | Tuesday: 8:00?AM?–?2:00?PM, 3:00?–?5:30?PM | Wednesday: 8:00?AM?–?2:00?PM, 3:00?–?5:30?PM | Thursday: 8:00?AM?–?2:00?PM, 3:00?–?5:30?PM | Friday: 8:00?AM?–?2:00?PM | Saturday: Closed | Sunday: Closed;;;
Pepa Print;hoteles;Calle de la Paloma, 6 28982 Parla, Spain;4023940;-376936;;http://www.pepaprint.es/;916 05 54 56;Monday: 9:30?AM?–?2:00?PM, 5:30?–?8:30?PM | Tuesday: 9:30?AM?–?2:00?PM, 5:30?–?8:30?PM | Wednesday: 9:30?AM?–?2:00?PM, 5:30?–?8:30?PM | Thursday: 9:30?AM?–?2:00?PM, 5:30?–?8:30?PM | Friday: 9:30?AM?–?2:00?PM, 5:30?–?8:30?PM | Saturday: 10:00?AM?–?1:30?PM | Sunday: Closed;;;
V Santos SA;hoteles;Calle León, 55 28947 Fuenlabrada, Spain;4025961;-374733;;https://v-santos.com/;916 42 06 63;Monday: 8:00?AM?–?5:00?PM | Tuesday: 8:00?AM?–?5:00?PM | Wednesday: 8:00?AM?–?5:00?PM | Thursday: 8:00?AM?–?5:00?PM | Friday: 8:00?AM?–?5:00?PM | Saturday: Closed | Sunday: Closed;;;
Abogados Asesores y Administradores de fincas Siglo 21 SLP;hoteles;Calle de Pinto, 52 28980 Madrid, Spain;4023939;-376490;;http://www.asesoriasiglo21.com/;916 64 40 17;Monday: 9:30?AM?–?2:00?PM | Tuesday: 9:30?AM?–?2:00?PM | Wednesday: 9:30?AM?–?2:00?PM | Thursday: 9:30?AM?–?2:00?PM | Friday: 9:30?AM?–?2:00?PM | Saturday: Closed | Sunday: Closed;;;
FERRIPLAS SA;hoteles;,  28946 Fuenlabrada, Spain;4025820;-376609;;;916 42 22 50;Monday: 8:00?AM?–?4:00?PM | Tuesday: 8:00?AM?–?4:00?PM | Wednesday: 8:00?AM?–?4:00?PM | Thursday: 8:00?AM?–?4:00?PM | Friday: 8:00?AM?–?4:00?PM | Saturday: Closed | Sunday: Closed;;;
Asador de Pollos Las Trébedes;hoteles;Calle Villafranca de los Caballeros, Nº17 28981 Parla, Spain;4024554;-377029;;https://www.facebook.com/asadorlastrebedes/;916 98 58 06;Monday: Closed | Tuesday: 9:00?AM?–?4:00?PM | Wednesday: 9:00?AM?–?4:00?PM | Thursday: 9:00?AM?–?4:00?PM | Friday: 9:00?AM?–?4:00?PM | Saturday: 9:00?AM?–?4:00?PM | Sunday: 9:00?AM?–?4:00?PM;;;
Talleres Emacar;hoteles;Avenida Cerro del Rubal, 43 28983 Parla, Spain;4023742;-375317;;;916 05 62 12;Monday: 8:30?AM?–?2:00?PM, 3:30?–?7:00?PM | Tuesday: 8:30?AM?–?2:00?PM, 3:30?–?7:00?PM | Wednesday: 8:30?AM?–?2:00?PM, 3:30?–?7:00?PM | Thursday: 8:30?AM?–?2:00?PM, 3:30?–?7:00?PM | Friday: 8:30?AM?–?2:00?PM, 3:30?–?4:00?PM | Saturday: Closed | Sunday: Closed;;;
APM AUTOMOVILES;hoteles;,  28980 Parla, Spain;4024028;-374608;;http://www.alpemar.es/;916 05 34 44;Monday: 8:00?AM?–?2:00?PM, 3:30?–?6:30?PM | Tuesday: 8:00?AM?–?2:00?PM, 3:30?–?6:30?PM | Wednesday: 8:00?AM?–?2:00?PM, 3:30?–?6:30?PM | Thursday: 8:00?AM?–?2:00?PM, 3:30?–?6:30?PM | Friday: 8:00?AM?–?2:00?PM, 3:30?–?6:30?PM | Saturday: Closed | Sunday: Closed;;;
Santoshi S.L.;hoteles;Calle de Felipe Asenjo, 56 28947 Fuenlabrada, Spain;4025770;-374788;;http://santoshi.com/;916 21 41 34;Monday: 9:30?AM?–?7:00?PM | Tuesday: 9:30?AM?–?7:00?PM | Wednesday: 9:30?AM?–?7:00?PM | Thursday: 9:30?AM?–?7:00?PM | Friday: 9:30?AM?–?7:00?PM | Saturday: Closed | Sunday: Closed;;;
Encuadernación Perellón;hoteles;Calle Brañuelas, 19 28947 Fuenlabrada, Spain;4025558;-375028;;;916 42 05 85;;;;
Gráficas Berlín;hoteles;Calle Berlín, 21 28980 Parla, Spain;4023833;-375596;;https://parla365.es/imprenta/#graficas_berlin;916 05 31 60;Monday: 8:00?AM?–?6:00?AM | Tuesday: 8:00?AM?–?6:00?AM | Wednesday: 8:00?AM?–?6:00?AM | Thursday: 8:00?AM?–?6:00?AM | Friday: 8:00?AM?–?6:00?AM | Saturday: Closed | Sunday: Closed;;;
Colada Rapid 30';hoteles;Calle Guadalajara, 19 28982 Parla, Spain;4024301;-376680;;;687 86 07 13;Monday: 8:00?AM?–?10:00?PM | Tuesday: 8:00?AM?–?10:00?PM | Wednesday: 8:00?AM?–?10:00?PM | Thursday: 8:00?AM?–?10:00?PM | Friday: 8:00?AM?–?10:00?PM | Saturday: 8:00?AM?–?10:00?PM | Sunday: 8:00?AM?–?10:00?PM;;;
PSOE de Parla - Agrupación Socialista de Parla;hoteles;Calle de Juan XXIII, nº 44 Bis 28982 Parla, Spain;4024206;-376144;;https://www.psoe.es/;912 88 66 76;Monday: 6:00?–?8:00?PM | Tuesday: 6:00?–?8:00?PM | Wednesday: 6:00?–?8:00?PM | Thursday: 6:00?–?8:00?PM | Friday: Closed | Saturday: Closed | Sunday: Closed;;;
PACO MARTÍNEZ;hoteles;Calle de Pinto,  28983 Parla, Spain;4024140;-375669;;https://www.pacomartinez.com/es;916 05 81 87;Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 11:00?AM?–?9:00?PM;;;
Autoescuela CAS, San Antón en Parla;hoteles;Calle San Antón, 72 28982 Parla, Spain;4024193;-376783;;https://autoescuelagandia.es/autoescuela-parla/;916 99 10 33;Monday: 10:00?AM?–?1:30?PM, 5:00?–?9:00?PM | Tuesday: 10:00?AM?–?1:30?PM, 5:00?–?9:00?PM | Wednesday: 10:00?AM?–?1:30?PM, 5:00?–?9:00?PM | Thursday: 10:00?AM?–?1:30?PM, 5:00?–?9:00?PM | Friday: 10:00?AM?–?1:30?PM, 5:00?–?9:00?PM | Saturday: Closed | Sunday: Closed;;;
Krakens Nomadas;bares;Calle Bruselas, 6 28983 Parla, Spain;4023877;-374692;;;;Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 9:00?PM?–?3:00?AM | Saturday: Closed | Sunday: Closed;;;
Turín15 Café & Chill Out;bares;Calle Turín, 15 28983 Parla, Spain;4023605;-375556;;http://turin15.es/;689 12 89 24;Monday: Closed | Tuesday: Closed | Wednesday: 6:00?PM?–?12:00?AM | Thursday: 6:00?PM?–?2:15?AM | Friday: 6:00?PM?–?2:15?AM | Saturday: 6:00?PM?–?2:15?AM | Sunday: 6:00?PM?–?12:00?AM;;;
FREEDOM ROCK BAR;bares;Calle Calderillo, 1 28982 Parla, Spain;4023917;-376511;;https://www.facebook.com/Freedom-Rock-Bar-Parla-181163258588089/;;Monday: 1:00?PM?–?4:00?AM | Tuesday: 1:00?PM?–?4:00?AM | Wednesday: 1:00?PM?–?4:00?AM | Thursday: 1:00?PM?–?4:00?AM | Friday: 1:00?PM?–?4:00?AM | Saturday: 1:00?PM?–?4:00?AM | Sunday: 1:00?PM?–?4:00?AM;;;
Bar Paladar y Tomar;bares;Calle de Pinto, 39 28982 Parla, Spain;4023943;-376684;;;910 94 10 22;Monday: Closed | Tuesday: 9:00?AM?–?4:30?PM | Wednesday: 9:00?AM?–?4:30?PM | Thursday: 9:00?AM?–?4:30?PM | Friday: 9:00?AM?–?4:30?PM, 7:00?–?11:00?PM | Saturday: 9:00?AM?–?4:30?PM, 7:00?–?11:00?PM | Sunday: 9:30?AM?–?4:30?PM, 7:00?–?11:00?PM;;;
Restaurante El Cortijo de Acadi;bares;Calle Canario, 17 28946 Fuenlabrada, Spain;4026350;-376290;;https://www.cortijodeacadi.com/;916 42 00 67;Monday: 6:00?AM?–?11:00?PM | Tuesday: 6:00?AM?–?11:00?PM | Wednesday: 6:00?AM?–?11:00?PM | Thursday: 6:00?AM?–?11:00?PM | Friday: 6:00?AM?–?11:00?PM | Saturday: Closed | Sunday: Closed;;;
El Rincón de Katheri Bar Restaurante;bares;Calle Santo Tomás de Aquino, 24 28982 Parla, Spain;4023805;-376540;;https://www.comercialtorres.com/;912 88 69 38;Monday: 10:00?AM?–?2:00?AM | Tuesday: 10:00?AM?–?2:00?AM | Wednesday: 10:00?AM?–?2:00?AM | Thursday: 10:00?AM?–?2:00?AM | Friday: 10:00?AM?–?2:00?AM | Saturday: 10:00?AM?–?2:00?AM | Sunday: 10:00?AM?–?2:00?AM;;;
Restaurante Patatiss;bares;Calle de Dos Amigos, 35 28982 Parla, Spain;4023684;-376497;;;916 99 34 03;;;;
Bar Bacha-Delos;bares;Calle Torrejón, 12 28981 Parla, Spain;4023837;-376704;;;916 98 27 40;Monday: 6:00?PM?–?3:00?AM | Tuesday: 6:00?PM?–?3:00?AM | Wednesday: 6:00?PM?–?3:00?AM | Thursday: 6:00?PM?–?3:00?AM | Friday: 6:00?PM?–?3:00?AM | Saturday: 6:00?PM?–?3:00?AM | Sunday: 6:00?PM?–?3:00?AM;;;
Pasión;bares;Calle Torrejón, 29 28982 Parla, Spain;4023730;-376611;;;;Monday: 7:00?PM?–?6:00?AM | Tuesday: 7:00?PM?–?6:00?AM | Wednesday: 7:00?PM?–?6:00?AM | Thursday: 7:00?PM?–?6:00?AM | Friday: 7:00?PM?–?6:00?AM | Saturday: 7:00?PM?–?6:00?AM | Sunday: 7:00?PM?–?6:00?AM;;;
Sirocco Parla;bares;Calle Torrejón, 40 28982 Parla, Spain;4023695;-376616;;http://www.facebook.com/siroccoparla;644 39 24 19;Monday: Closed | Tuesday: 7:00?PM?–?1:00?AM | Wednesday: 7:00?PM?–?1:00?AM | Thursday: 7:00?PM?–?1:00?AM | Friday: 7:00?PM?–?3:30?AM | Saturday: 7:00?PM?–?3:30?AM | Sunday: 7:00?PM?–?1:00?AM;;;
Bar Mulligan's;bares;Calle Esperanza, 10 28982 Parla, Spain;4023754;-376738;;https://grupococogarden.com/;;Monday: 6:00?PM?–?1:00?AM | Tuesday: 6:00?PM?–?1:00?AM | Wednesday: 6:00?PM?–?1:00?AM | Thursday: 6:00?PM?–?1:00?AM | Friday: 7:00?PM?–?3:00?AM | Saturday: 7:00?PM?–?3:00?AM | Sunday: 6:00?PM?–?1:00?AM;;;
La Campana;bares;Calle Leganés, 21 28981 Parla, Spain;4024181;-377211;;;;Monday: 6:00?AM?–?11:45?PM | Tuesday: 6:00?AM?–?11:45?PM | Wednesday: 6:00?AM?–?11:45?PM | Thursday: Closed | Friday: 6:00?AM?–?11:45?PM | Saturday: 6:00?AM?–?11:45?PM | Sunday: 6:00?AM?–?11:45?PM;;;
Let's Go Rock Bar;bares;Calle San Roque, 51 28982 Parla, Spain;4023667;-376744;;https://www.facebook.com/letsgorockbar/;;Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 8:00?PM?–?3:00?AM | Friday: 8:00?PM?–?3:30?AM | Saturday: 8:00?PM?–?3:30?AM | Sunday: Closed;;;
Bar Jesús;bares;Calle Alfonso XIII, 23 28982 Parla, Spain;4023379;-376286;;https://sren.top/bar-jesus;916 05 07 68;Monday: 8:00?AM?–?12:30?AM | Tuesday: 8:00?AM?–?12:30?AM | Wednesday: 8:00?AM?–?12:30?AM | Thursday: 8:00?AM?–?12:30?AM | Friday: 8:00?AM?–?12:30?AM | Saturday: 8:00?AM?–?1:30?AM | Sunday: 8:00?AM?–?12:30?AM;;;
Bar restaurante Puchero de Reyes;bares;Plaza San Juan, 1 28982 Parla, Spain;4023847;-377026;;http://pucherodereyes.es/;912 98 00 65;Monday: 12:30?–?5:00?PM | Tuesday: Closed | Wednesday: 9:00?AM?–?11:30?PM | Thursday: 9:00?AM?–?11:30?PM | Friday: 9:00?AM?–?11:30?PM | Saturday: 10:00?AM?–?12:00?AM | Sunday: 12:30?–?10:00?PM;;;
Panadería Granier;bares;Plaza de las labores, 4 28981 Parla, Spain;4023809;-377044;;http://www.pansgranier.com/;916 99 71 73;Monday: 6:00?AM?–?9:30?PM | Tuesday: 6:00?AM?–?9:30?PM | Wednesday: 6:00?AM?–?9:30?PM | Thursday: 6:00?AM?–?9:30?PM | Friday: 6:00?AM?–?9:30?PM | Saturday: 6:00?AM?–?9:30?PM | Sunday: 6:00?AM?–?9:30?PM;;;
